TransactionID,CustomerID,AccountID,TransactionDate,Amount,CurrencyID,MerchantID,Status
TX001,C001,ACC001,2026-01-05,250.00,USD,M001,Completed
TX002,C002,ACC002,2026-01-07,120.50,EUR,M002,Completed
TX003,C001,ACC003,2026-02-12,500.00,GBP,M003,Failed
TX004,C003,ACC004,2026-02-15,75.25,USD,M001,Completed
TX005,C002,ACC002,2026-03-01,300.00,USD,M004,Completed
TX006,C004,ACC005,2026-03-10,45.00,EUR,M005,Pending
TX007,C005,ACC006,2026-04-05,180.75,USD,M002,Completed
TX008,C003,ACC004,2026-04-20,95.00,GBP,M006,Completed
TX009,C001,ACC001,2026-05-08,420.00,USD,M005,Completed
TX010,C005,ACC006,2026-05-15,60.00,EUR,M003,Completed
